Id,SalePrice
1461,129416.1
1462,159451.11
1463,183881.64
1464,191954.67
1465,190629.23
1466,178034.78
1467,177219.28
1468,173107.05
1469,178688.77
1470,126892.555
1471,201923.7
1472,98970.26
1473,106913.95
1474,152930.92
1475,130218.016
1476,396042.03
1477,245887.75
1478,294211.66
1479,266817.94
1480,448805.1
1481,318250.4
1482,203628.61
1483,176356.77
1484,170788.69
1485,175143.56
1486,194822.6
1487,343612.16
1488,234417.77
1489,207984.53
1490,219840.95
1491,188787.52
1492,88762.84
1493,183929.83
1494,291103.6
1495,284643.75
1496,246976.6
1497,181941.45
1498,162027.39
1499,155667.55
1500,164656.0
1501,180062.58
1502,154796.36
1503,292850.5
1504,235202.95
1505,222930.3
1506,182469.12
1507,244529.17
1508,197443.47
1509,159860.34
1510,152946.9
1511,150120.45
1512,171153.81
1513,133314.25
1514,173922.7
1515,196254.64
1516,155816.22
1517,160647.33
1518,126941.41
1519,224214.66
1520,137398.11
1521,142238.19
1522,164109.27
1523,112665.25
1524,122804.51
1525,128354.28
1526,117254.22
1527,106483.195
1528,132444.4
1529,148973.77
1530,168421.4
1531,121532.77
1532,101891.92
1533,144430.38
1534,113674.86
1535,161085.48
1536,107691.29
1537,68881.87
1538,171352.77
1539,216141.61
1540,107069.32
1541,141693.23
1542,140866.98
1543,210034.89
1544,85035.58
1545,104419.41
1546,128335.13
1547,144418.2
1548,134102.73
1549,113887.75
1550,141507.5
1551,115545.13
1552,140960.73
1553,152531.66
1554,115168.3
1555,175233.86
1556,86525.64
1557,114199.445
1558,98024.625
1559,96762.28
1560,148950.6
1561,150266.06
1562,124308.2
1563,121186.17
1564,159046.05
1565,148299.22
1566,232654.11
1567,72803.07
1568,229005.48
1569,144037.25
1570,134771.5
1571,122569.1
1572,143820.88
1573,247651.61
1574,113171.58
1575,222305.62
1576,228591.36
1577,199310.62
1578,151659.27
1579,145200.39
1580,190493.98
1581,148367.14
1582,126430.62
1583,312393.2
1584,236007.89
1585,139903.69
1586,74966.11
1587,91568.914
1588,154472.84
1589,102544.83
1590,132938.33
1591,92089.66
1592,123420.375
1593,128761.98
1594,165508.4
1595,120761.1
1596,238602.9
1597,184379.17
1598,197049.95
1599,178343.45
1600,174548.6
1601,68816.72
1602,109387.02
1603,86506.11
1604,273187.9
